as_of_date,loan_id,auto_direct_indirect,auto_new_used,original_balance,current_balance,current_rate,origination_date,maturity_date,original_term_months,orig_fico,orig_ltv,dti_back_end,state,year,days_past_due,product_type,box_id,in_box_flag,exclusion_reason
2025-10-19,1,AUTO_INDIRECT,AUTO_USED,100000,63007.19,0.0,2020-09-17,2023-08-17,35,671.0,112.0,13.46,TX,2009,35,AUTO_USED,AUTO_USED_670_699,True,None
2025-10-19,2,AUTO_DIRECT,AUTO_NEW,83482,69075.79,12.05,2025-09-18,2030-11-18,62,663.0,94.0,39.0,TX,2009,38,AUTO_NEW,AUTO_NEW_660_669,True,None
2025-10-19,4,AUTO_DIRECT,AUTO_NEW,87987,144449.36,3.51,2020-12-15,2027-08-15,80,741.0,43.55,44.0,TX,2013,31,AUTO_NEW,AUTO_NEW_700_749,True,None
2025-10-19,3,AUTO_DIRECT,AUTO_USED,10889,100603.25,3.61,2021-10-07,2025-05-07,43,642.0,44.84,57.35,TX,2016,0,AUTO_USED,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,5,AUTO_DIRECT,AUTO_USED,143136,30890.1,4.9,2020-05-28,2023-12-28,43,660.0,43.45,2.49,TX,2024,32,AUTO_USED,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,6,AUTO_DIRECT,AUTO_USED,146694,148828.26,2.59,2021-01-21,2028-01-21,81,571.0,64.17,43.0,TX,2024,35,AUTO_USED,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,7,AUTO_DIRECT,AUTO_NEW,27392,134138.38,2.98,2020-04-12,2021-11-12,19,526.0,30.04,36.84,TX,2022,26,AUTO_NEW,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,8,AUTO_INDIRECT,AUTO_NEW,44624,100790.17,0.0,2025-03-21,2027-04-21,25,673.0,91.23,21.06,TX,2022,0,AUTO_NEW,AUTO_NEW_670_699,True,None
2025-10-19,9,AUTO_INDIRECT,AUTO_NEW,54417,12427.33,6.75,2019-03-17,2020-11-17,20,740.0,64.47,35.45,TX,2013,0,AUTO_NEW,AUTO_NEW_700_749,True,None
2025-10-19,10,AUTO_INDIRECT,AUTO_USED,138040,72139.84,1.69,2023-01-25,2025-06-25,29,781.0,113.5,69.59,TX,2013,0,AUTO_USED,OOB_UNMATCHED,False,NO_BOX_MATCH
2025-10-19,11,AUTO_INDIRECT,AUTO_NEW,49851,9431.44,6.01,2024-02-07,2027-12-07,46,689.0,73.91,26.06,TX,2006,0,AUTO_NEW,AUTO_NEW_670_699,True,None
