as_of_date,loan_id,auto_direct_indirect,auto_new_used,original_balance,current_balance,current_rate,origination_date,maturity_date,original_term_months,orig_fico,orig_ltv,dti_back_end,state,year,days_past_due,product_type,box_id,in_box_flag,exclusion_reason
2025-10-19,93,AUTO_INDIRECT,AUTO_NEW,31214,90710.44,10.6,2020-02-23,2026-05-23,75.0,728.0,7.14,22.05,TX,2012,0,AUTO_NEW,AUTO_NEW_700_749,True,None
2025-10-19,187,AUTO_INDIRECT,AUTO_NEW,136853,79564.82,8.9,2023-11-07,2026-05-07,30.0,756.0,30.9,41.15,TX,2015,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,202,AUTO_DIRECT,AUTO_NEW,29616,26230.35,2.37,2024-05-18,2030-08-18,75.0,751.0,30.41,48.95,TX,2005,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,227,AUTO_INDIRECT,AUTO_NEW,17373,27.56,4.54,2024-01-06,2026-12-06,35.0,767.0,29.43,42.41,TX,2021,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,247,AUTO_INDIRECT,AUTO_NEW,19232,74679.06,13.92,2025-08-04,2028-11-04,39.0,777.0,10.06,9.94,TX,2012,19,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,252,AUTO_INDIRECT,AUTO_NEW,68073,148141.16,16.32,2024-08-10,2027-07-10,35.0,746.0,32.6,12.74,TX,2010,0,AUTO_NEW,AUTO_NEW_700_749,True,None
2025-10-19,267,AUTO_DIRECT,AUTO_USED,132806,6488.5,1.05,2020-01-29,2026-11-29,82.0,716.0,35.21,13.97,TX,2013,29,AUTO_USED,AUTO_USED_700_749,True,None
2025-10-19,280,AUTO_DIRECT,AUTO_NEW,27597,91786.69,17.18,2024-12-31,2026-09-30,21.0,796.0,6.27,29.51,TX,2017,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,288,AUTO_INDIRECT,AUTO_NEW,64641,79800.39,9.9,2022-09-15,2026-10-15,49.0,780.0,16.66,51.0,TX,2013,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,300,AUTO_INDIRECT,AUTO_NEW,92283,89501.18,1.78,2021-12-01,2026-06-01,54.0,768.0,27.0,23.95,TX,2019,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,406,AUTO_INDIRECT,AUTO_NEW,7799,110672.39,2.67,2023-04-20,2027-01-20,45.0,686.0,1.66,8.84,TX,2007,0,AUTO_NEW,AUTO_NEW_670_699,True,None
2025-10-19,409,AUTO_DIRECT,AUTO_NEW,146841,36992.46,1.86,2023-03-10,2029-01-10,70.0,773.0,38.76,46.17,TX,2011,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,429,AUTO_DIRECT,AUTO_NEW,146897,84412.34,8.58,2024-12-27,2028-02-27,38.0,784.0,20.5,1.87,TX,2023,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,432,AUTO_INDIRECT,AUTO_NEW,24524,136869.13,14.2,2023-02-03,2029-12-03,82.0,780.0,23.0,12.46,TX,2008,0,AUTO_NEW,AUTO_NEW_750PLUS,True,None
2025-10-19,448,AUTO_INDIRECT,AUTO_USED,58167,148469.84,5.38,2023-08-11,2030-08-11,84.0,746.0,19.61,19.96,TX,2011,0,AUTO_USED,AUTO_USED_700_749,True,None
2025-10-19,487,AUTO_INDIRECT,AUTO_USED,70215,27648.28,13.8,2020-12-29,2027-07-29,79.0,716.0,4.21,18.26,TX,2022,0,AUTO_USED,AUTO_USED_700_749,True,None
2025-10-19,596,AUTO_DIRECT,AUTO_USED,6242,55383.79,7.73,2022-06-28,2027-11-28,65.0,674.0,24.86,10.0,TX,2018,0,AUTO_USED,AUTO_USED_670_699,True,None
